variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-46.72421062325,-46.3111775,5.84894838405177,5.8297915052999985,-57.01475705,-37.81459745,1.0023939068260965,944.7658205871438,1710.344920421247
alpha,-0.445953181745,-0.44633815,0.0768926518263039,0.07593464295899997,-0.571038414,-0.31918226600000005,1.0038708016808153,1717.9502345514625,2081.7201427884183
beta_raw[1],-0.4149129261275,-0.415436465,0.08859978549951307,0.090198959949,-0.5578601665,-0.2670527595,1.0013540166934352,2752.2559253602117,2921.696479412228
beta_raw[2],-0.546009139075,-0.54509315,0.0997205072195058,0.09968433081599994,-0.70970687,-0.38202838650000004,1.0011698097759552,2750.990842759884,2590.5528622257834
s[1],-5.423409863324877e-4,-0.007764001100000001,0.6355250756877474,0.6460005460091399,-1.046525095,1.039862214999999,1.0000267788861974,2393.234742516375,2679.621393360847
s[2],-0.011914055102744974,-0.00841790255,0.6201469969182429,0.624073753548,-1.03597184,1.0062611199999993,1.0005532426625836,2065.2609004971546,2560.2035841019297
s[3],-0.0038838177581450002,-0.008837386249999999,0.43600157794518757,0.43370062842225,-0.708205896,0.7088615134999995,0.9999152955446073,3895.997170171168,3244.59985998939
s[4],0.032131424413522486,0.0088109775,0.7944956992039562,0.8054797969680001,-1.253767705,1.3468089599999995,1.0022304649431457,1424.674567210575,1905.5200949428674
s[5],0.004671707903304997,-0.0018858012249999999,0.5442281924157361,0.544914335164815,-0.878180852,0.9185400669999992,0.9998682337960794,3638.8401880663023,3107.71946400899
s[6],-0.024749580466347475,-0.022257561500000002,0.6971108959002463,0.6987580658120999,-1.18649902,1.1120757049999979,1.000467840333646,2120.4742302484487,2653.927040426845
s[7],-0.0238128725785125,-0.023633361,0.665292663080295,0.66770158623,-1.1505142349999997,1.071671455,1.0002734058395404,2538.879311115155,2825.8737822494536
s[8],-0.022684432579900004,-0.017004232,0.4567628974457192,0.45820515056399996,-0.762710695,0.728599916,1.0009640802713766,2344.4375257556553,2656.5669935879805
s[9],-0.017579573745719987,-0.023817635,0.8280459408703362,0.846261007998,-1.393825475,1.3580728999999991,1.0006558573996787,2166.6270940990667,2999.788030663049
s[10],0.015187052851943349,0.0026434331,0.5705781598064977,0.5795710636619399,-0.9101957820000001,0.9657864959999998,1.0008007601051447,2269.1937272570067,2837.7428555150072
s[11],-0.01654331075613377,-0.014042144999999999,0.5497053151629457,0.548143491672,-0.9276814019999999,0.8845774324999999,1.0000655310027737,3064.567710718207,2861.7214884022655
s[12],0.03483455774114587,0.00876288045,0.6928728960134841,0.6964563167099999,-1.0752529750000002,1.2036471299999998,1.000821917174395,1349.6876844058688,2056.149036462407
s[13],0.03897863045768498,0.0323720245,0.9435027677902091,0.9398190213783001,-1.49517098,1.6371856249999999,1.000842046591241,1532.6468704727629,2278.0701668853003
s[14],-0.015355140575505253,-0.01567442,0.5482088785712156,0.547929619209,-0.9049530455,0.9047663274999997,1.0001752459320412,1806.0567934153198,2705.2858216569034
s[15],0.02818548351380751,0.01415798,0.5432447969491488,0.54907557264,-0.842208495,0.9138737769999999,1.000162430258723,1700.2128766407873,2592.0545685773413
s[16],-0.020186601975717967,-0.037881975,0.6784608972767082,0.681884071113,-1.115273795,1.1173333600000002,1.0000814363508534,2311.726494319723,2720.5336587737165
s[17],0.00357379264515199,0.0074628225,0.4614012002715105,0.456339179856,-0.7521691654999999,0.7635795879999998,1.0012509072507068,2406.609496043061,3151.301661769838
u[1],-0.488516986246481,-0.48840244,0.7342089171310289,0.703902586254,-1.68433054,0.7099524079999998,1.0016535512573468,3821.4995603523034,2514.359859326931
u[2],-1.123640222334555,-1.1185747,0.7111642824793848,0.6844206069749998,-2.30351559,0.02236857899999971,1.0010215852222133,4118.658886291044,2628.9439617106
u[3],0.1251802135526075,0.11833194,0.694006220590251,0.65296343028,-1.02084061,1.248389859999999,1.0002065687064274,4385.4193695530785,2754.8478676603295
u[4],-0.06215984701474301,-0.0711480885,0.7493589082509164,0.74073446223,-1.2752687950000001,1.1814664549999994,1.0011847555746705,4293.041859235619,2752.5614063976705
u[5],0.22959775134629748,0.221395755,0.6740020831144471,0.639317261121,-0.877604726,1.3510092799999998,0.9999690963081783,3568.294630325173,2214.008781177618
u[6],-0.6157901999968775,-0.62476316,0.751238001331312,0.7280536954739999,-1.8533726149999998,0.6175655434999997,1.001377232393875,4151.981080632962,2727.076552603286
u[7],-0.9608409803838716,-0.97386159,0.7747830325356188,0.7595181146699999,-2.202166575,0.3304061219999998,1.0006430781540958,4218.762243752362,2867.713193112981
u[8],-0.1027192184858425,-0.11088373,0.671939891928866,0.6233270346449999,-1.1968897600000001,0.9961693964999995,1.0002919257823844,3415.1787655934595,2786.10621383952
u[9],0.999271977739685,1.021754,0.8715924861652111,0.8576756491799999,-0.43902181799999995,2.38857999,1.0004648008181494,4500.984402866821,2424.276673605776
u[10],1.481107578449325,1.50795185,0.7879411400944502,0.7215886106100001,0.19331060350000004,2.736380659999999,1.0008181583935505,3472.885039930074,2187.817678222093
u[11],0.04995413105806,0.051531196,0.8112321439944244,0.7911710820384,-1.28643559,1.3586716299999984,1.001725869001955,4738.300983743451,2999.9773915001047
u[12],0.3844044179921175,0.384494125,0.7116872557701601,0.6753841066014,-0.7462107539999999,1.535917299999999,1.0009247855443824,4330.035226495814,2219.5818746598056
u[13],0.7102039681632475,0.720175805,0.7458950791223409,0.708673526337,-0.5501439549999999,1.9372201499999995,1.0037656028189603,3984.591935611414,2664.955637740263
u[14],0.08298625704898252,0.07379856,0.7483785736893148,0.721225855455,-1.1430909099999997,1.3210291749999996,1.002137617810139,4568.860705684417,2724.534657670481
u[15],-0.1893743782855975,-0.18528277999999998,0.6583676856646322,0.631505501025,-1.269068345,0.8990701414999998,1.0011148126152742,4275.387204961032,3095.617753115529
u[16],0.557791437885135,0.548530685,0.7290212452530881,0.6927997647627,-0.6275639749999999,1.747249745,1.0007269998650845,4510.6013236528825,2620.6382035483257
u[17],-0.546540753812585,-0.55612847,0.7709309231076656,0.7541653252518,-1.77661928,0.7222822504999992,1.0011934152174091,4032.7048965373274,2627.197717131586
u[18],-0.53227617834243,-0.54478755,0.710682513691429,0.6800504848368,-1.66719026,0.6161551854999998,0.9996771515499785,4009.7190333471976,2822.8431559225464
sigma_b,0.48602025177017505,0.337637215,0.41141590852413285,0.23906131067699993,0.10743822250000001,1.3463364899999992,1.0004812327980797,1663.773043138695,1335.685538655052
phi,0.6132703323586954,0.7350450399999999,0.3442485164798385,0.34557665427600015,0.017894585150000003,0.9885308715000001,0.9999014074225022,2541.0167000114348,2348.2612946475665
beta[1],0,0,0,0,0,0,NA,NA,NA
beta[2],-0.4149129261275,-0.415436465,0.08859978549951307,0.090198959949,-0.5578601665,-0.2670527595,1.0013540166934352,2752.2559253602117,2921.696479412228
beta[3],-0.546009139075,-0.54509315,0.0997205072195058,0.09968433081599994,-0.70970687,-0.38202838650000004,1.0011698097759552,2750.990842759884,2590.5528622257834
s_star[1],-2.2361215463399504e-6,-3.2011686e-5,0.002620327953723932,0.0026635193125464,-0.00431491877,0.004287446819999996,1.000026488759719,2393.234742516375,2679.621393360847
s_star[2],-4.9122737127849884e-5,-3.4707781e-5,0.002556922727395815,0.0025731130866000003,-0.0042714064849999995,0.004148906644999998,1.0005532426625836,2065.2609004971546,2560.2035841019297
s_star[3],-1.6013335976437464e-5,-3.6437351e-5,0.0017976743444630776,0.0017881872865626,-0.002919997635,0.0029227008149999975,0.9999152955446073,3895.997170171168,3244.59985998939
s_star[4],1.3248080142129248e-4,3.6328465e-5,0.0032757783614659496,0.0033210667730099994,-0.005169398795,0.005553016394999997,1.0022358065764663,1424.674567210575,1905.5200949428674
s_star[5],1.9261877987425002e-5,-7.7753306e-6,0.0022439025619798813,0.0022467316239824396,-0.0036208198499999996,0.0037872246799999973,0.9998682337960794,3638.8401880663023,3107.71946400899
s_star[6],-1.0204478053676757e-4,-9.176996049999999e-5,0.002874251917528449,0.0028810433830226997,-0.004892043810000001,0.004585189619999991,1.00047846089953,2120.4742302484487,2653.927040426845
s_star[7],-9.818264791525015e-5,-9.7442506e-5,0.0027430624358397797,0.00275299464657,-0.004743675520000001,0.004418599224999999,1.0002734058395404,2538.879311115155,2825.8737822494536
s_star[8],-9.352998854553751e-5,-7.011000200000001e-5,0.0018832751621621258,0.0018892217307600002,-0.003144725895,0.003004083985,1.0009640802713766,2344.4375257556553,2656.5669935879805
s_star[9],-7.248218872714997e-5,-9.8202286e-5,0.0034141090752174068,0.00348921147834,-0.0057468697,0.005599458699999996,1.0006558417087688,2166.627087673082,2999.788030663049
s_star[10],6.261760592438966e-5,1.08991165e-5,0.0023525458882550183,0.0023896244846271,-0.003752820325,0.0039820260199999995,1.000804536323781,2269.1937272570067,2837.7428555150072
s_star[11],-6.820958127553497e-5,-5.78970455e-5,0.0022664852400531323,0.0022600457138699996,-0.0038249152349999994,0.0036471935850000002,1.0000655310027737,3064.567710718207,2861.7214884022655
s_star[12],1.4362606432183288e-4,3.6130157000000004e-5,0.0028567782565068213,0.0028715529794699998,-0.00443336632,0.004962747009999999,1.0008132494811885,1349.6876844058688,2056.149036462407
s_star[13],1.6071245391972497e-4,1.3347281499999998e-4,0.0038901481201991167,0.0038749596614609996,-0.006164726644999999,0.00675026615,1.0008399297495048,1532.6468704727629,2278.0701668853003
s_star[14],-6.331064779862906e-5,-6.46270645e-5,0.002260315296930549,0.0022591639160223,-0.003731204115,0.003730434214999999,1.0001713338243339,1806.0567934153198,2705.2858216569034
s_star[15],1.1621132293112503e-4,5.83746455e-5,0.0022398479337597966,0.0022638887680017,-0.00347250252,0.0037679851099999993,1.000162430258723,1700.2128766407873,2592.0545685773413
s_star[16],-8.323120480514248e-5,-1.5619084e-4,0.0027973562691532604,0.00281147039208,-0.0045983756749999995,0.004606867414999999,1.0000814363508534,2311.726494319723,2720.5336587737165
s_star[17],1.473507505890992e-5,3.0769899e-5,0.0019023993062544117,0.0018815280745799999,-0.003101262215,0.00314830841,1.0012511327370373,2406.609496043061,3151.301661769838
b[1],-0.08712982145309099,-0.07713827549999999,0.12452386598057325,0.119981198946,-0.299076412,0.10099229949999998,1.0017288534296651,3368.1489558947537,2853.6978758028213
b[2],-0.19642058699713205,-0.18831503500000002,0.13232082516455396,0.1387152991875,-0.425045374,0.002634715249999985,1.0005991500828098,2113.848719299733,2802.3802447710405
b[3],0.021149566734194998,0.0168944715,0.11295526764344103,0.10221945376019999,-0.16290525300000003,0.21342730449999994,1.0001738938149884,4207.60317094685,3358.9787060048284
b[4],-0.010312004204988246,-0.009318865150000001,0.12254416998889477,0.11495624848910999,-0.21173155149999998,0.19034182999999996,1.0001615447569825,4186.049670644747,3303.1826506852217
b[5],0.04041216853257625,0.032425273000000004,0.10981090504915686,0.1015752573885,-0.132669361,0.23280342349999986,1.0007396481443478,3426.937028299609,2646.2077463934447
b[6],-0.1099859563369025,-0.099390763,0.12947869957586317,0.1294551308127,-0.337963171,0.08301540389999999,1.0014530852127927,3490.401462040056,3065.66546093124
b[7],-0.1729179559721315,-0.162512665,0.14316921538566227,0.147221520243,-0.43241879399999994,0.03627637184999992,1.0005613631698502,2458.20959053019,3112.2701889244904
b[8],-0.01893232071959727,-0.015801593500000002,0.10810536031786017,0.1013265445668,-0.1967703985,0.15460479649999995,1.0008640805719202,3360.1493544093278,3158.6850500857095
b[9],0.18366776607849755,0.16529431,0.16732826727943,0.16969705424700002,-0.050174809349999995,0.48222543749999996,1.000012748501497,2930.78929683935,2906.257279455776
b[10],0.2658183743482405,0.261200475,0.1623840015772833,0.16487563904699998,0.010944237200000012,0.5447470849999997,1.0004859668818076,1791.283963795709,1651.378134834592
b[11],0.008882805630323001,0.006587523,0.13701089440215927,0.12307939483769999,-0.21701054549999998,0.2445039634999999,1.0020292351711437,4740.36010680603,3125.7118572297754
b[12],0.06693652656892675,0.059662624,0.11499452723237696,0.11026876863029998,-0.10942017849999999,0.2634833439999999,1.0010456506145213,4145.9526964806,3166.0172614075996
b[13],0.12591123138450125,0.11466703,0.13078916374240426,0.1293423249678,-0.068720776,0.3573964795,1.0015668543105372,2733.7135944089987,2784.046013440207
b[14],0.014389456418232246,0.0106215195,0.1255314944799349,0.1151732435301,-0.1912183455,0.22459616599999965,1.0013645892496488,4356.712749123509,3121.321586308244
b[15],-0.03496200144283775,-0.0277857865,0.10864650564447938,0.1012344246984,-0.220775235,0.13660329649999986,1.0000835132121666,3817.8594225210218,3428.3941590129266
b[16],0.09810565405214924,0.08900527250000001,0.12458580354834187,0.12125867463843001,-0.09370707504999999,0.31700298999999993,1.0006181130232863,3478.041250039443,2598.3107546288893
b[17],-0.10014474441488475,-0.08772050149999999,0.1365054160946909,0.13198127713281,-0.3394564905,0.1036404185,1.0013248938851127,3184.9398427542105,3266.961634134439
b[18],-0.09383982916764375,-0.0836631735,0.12072914912381551,0.11747538589185,-0.3082139675,0.08594157269999991,0.9999610798823744,2968.7895057663077,2899.382771037704
theta[1],-0.533083003112,-0.52709027,0.12929212117555763,0.12947712592499996,-0.754131633,-0.32970564150000004,1.0002242122915963,3818.3766450500934,2901.183475160838
theta[2],-0.642373768825,-0.64017258,0.13968224907788968,0.14094107096999997,-0.879526563,-0.4199341945000001,1.0030246053066336,2423.5051720553715,2494.6196440986814
theta[3],-0.42480361504975,-0.428267085,0.11976600134616522,0.11603805374699999,-0.6212064245,-0.2255264635000002,1.0001412793612197,4515.123036957026,3435.025222961023
theta[4],-0.4562651859075,-0.45382272,0.13029397116871153,0.12834410076600003,-0.6707040955,-0.24183719800000006,1.0005772532068626,4178.94497053558,3304.995511314577
theta[5],-0.4055410132685725,-0.409385075,0.1180217079768138,0.11629310542500002,-0.5929603274999999,-0.209531627,1.0009729447449023,3631.919022111645,3042.9534695718125
theta[6],-0.55593913803,-0.549202745,0.13965897968872829,0.139969360104,-0.7960290889999999,-0.3375662300000001,1.000541803145281,3556.9358867515157,3034.9169875281004
theta[7],-0.6188711377475,-0.60748377,0.1541452550856895,0.15627266722200003,-0.8852861435,-0.3859303835000002,1.000077389511454,2593.898939279482,2964.325212201803
theta[8],-0.46488550246525,-0.46412655999999997,0.1092473119105457,0.10756692954,-0.6479259119999999,-0.2853076075,1.0019182561527138,4896.196477780538,3410.2607559898092
theta[9],-0.2622854156202395,-0.276771,0.18077803570926515,0.181901446797,-0.5304026344999999,0.05667073204999956,1.001132744229792,2508.8002475175335,2679.7287980208257
theta[10],-0.1801348073741725,-0.18712677500000002,0.1712354137415659,0.17335459879499993,-0.452919915,0.108750616,1.0010170049776257,1751.4624891532685,2059.257319860483
theta[11],-0.437070376112935,-0.44131476000000003,0.15206945664193747,0.14272787825100003,-0.6865252645000001,-0.17772340400000006,1.0008737761479025,3777.6472395881297,3010.0372108922484
theta[12],-0.3790166551552025,-0.382182485,0.12330356548160383,0.12148334702699999,-0.577606913,-0.1740490250000001,1.000464900250198,3738.4174945734085,3123.1068602031514
theta[13],-0.320041950275469,-0.327176605,0.13942287213643345,0.13863627290099997,-0.5373109545000001,-0.08130371595000042,1.0004904349657755,2874.919993579736,3093.972117395028
