variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
theta[14],-0.431563725247775,-0.43051533,0.13495316705309598,0.127092563976,-0.6591650244999999,-0.208236832,1.0010579393229164,4185.5878991623085,2837.1576574199967
theta[15],-0.48091518307075,-0.479231395,0.11696117673776847,0.11483772596099996,-0.6775334055,-0.289855823,1.0003867423767199,3792.9667489746816,2681.726851006817
theta[16],-0.347847527581505,-0.35245243,0.13352311644688683,0.13345011586200003,-0.5565314264999999,-0.11985766850000001,1.0005560333054002,3509.1502957195266,3394.474323072631
theta[17],-0.54609792602375,-0.53899709,0.14354417948979287,0.1413139448700001,-0.7948283135,-0.32527191950000006,1.0008889382877975,3643.8442869741752,3301.5206758036757
theta[18],-0.53979301082,-0.5318877799999999,0.12926557517322887,0.130025902902,-0.7581555575,-0.3379142865000001,1.0008563021251318,3132.370827294886,2889.5072225599324
theta[19],-0.947995929505,-0.94264092,0.12854544210553356,0.12864013150800005,-1.16225112,-0.7414838480000001,1.0001562734933946,4250.149850832951,3451.4523997274396
theta[20],-1.0572866946075,-1.0534027,0.13577906608472312,0.13811909013000007,-1.2909666450000001,-0.8431272175000001,1.001636377399278,2578.5003664556652,2453.7645004437422
theta[21],-0.8397165414525,-0.841729205,0.12167382604331495,0.12090598552199995,-1.031532925,-0.6345230829999999,1.0018486683358636,4988.078086374039,3227.9572328239237
theta[22],-0.8711781119125,-0.869712135,0.12941908287019813,0.127652252889,-1.08334463,-0.659132572,1.0003947380013676,5023.533795922527,3443.8596390149623
theta[23],-0.820453939305,-0.82252573,0.11637652854959339,0.11683378740600002,-1.008188815,-0.6272490385000001,1.0009204955524333,5104.902342383681,3037.0704237902983
theta[24],-0.970852063975,-0.96414529,0.1366004930525578,0.13617091666499992,-1.206664465,-0.7554993040000002,1.0003461152465138,4512.867702393245,3366.7669053796158
theta[25],-1.0337840644075,-1.0250759999999999,0.1494506604785407,0.14941428564299983,-1.294741265,-0.804226808,0.9999273823015238,2761.206734151697,3100.683403420366
theta[26],-0.87979842884,-0.880401105,0.11624645915499997,0.11519905040699997,-1.06797706,-0.6889048790000001,1.0010219469843051,5023.775121907947,3474.274293495824
theta[27],-0.67719834173275,-0.6914539,0.1758491376083951,0.182487399969,-0.936358616,-0.36970617950000007,1.000019677834103,3162.1287868696822,2984.8346442417583
theta[28],-0.5950477333563975,-0.596307115,0.17146389930413325,0.17554713439199995,-0.863954855,-0.302097092,1.0003746652027532,2023.1065567881437,2306.574186573136
theta[29],-0.85198330217,-0.853964475,0.1450816903144289,0.13584309897899996,-1.0945122000000003,-0.6089003505,1.0012319662088869,5156.107310535044,3340.294789793993
theta[30],-0.793929581384,-0.8005517600000001,0.12388327274552009,0.12041269485000002,-0.9899246765,-0.5881416480000001,1.00140951333245,5267.812946991337,3567.236357828713
theta[31],-0.7349548763475,-0.744132935,0.14292376356632358,0.14328073237800004,-0.9570531875,-0.49301074450000015,1.000233280547653,3477.805375075747,3363.3893929382884
theta[32],-0.846476651455,-0.847084835,0.13277224356683526,0.12829838479499997,-1.06124442,-0.6265436515000001,1.001753308767297,4985.596547591083,3331.3084336937727
theta[33],-0.895828109425,-0.89315853,0.11367209420696636,0.10937858519700004,-1.0818711899999998,-0.711393041,1.0006858482078402,5350.235937759128,3414.80618828503
theta[34],-0.7627604536825,-0.76838079,0.13375558801192483,0.1317965276039999,-0.9750252060000001,-0.5318863410000001,1.000218637946372,4077.475037700177,3381.8379235449697
theta[35],-0.9610108519775,-0.95382442,0.1427556361360201,0.13729311143100006,-1.21024834,-0.734131379,1.0014324128618763,3762.30334965051,3277.2119555074887
theta[36],-0.9547059368675,-0.95005269,0.12824302557309966,0.127578908667,-1.173197885,-0.7527248910000002,1.0002020502135922,4053.527391582065,3116.112460520453
theta[37],-1.0790921426075,-1.0740672999999998,0.1403361874746738,0.14013733127100006,-1.317309995,-0.8603672240000001,1.0005308509833661,4293.957489888681,2874.3131630931257
theta[38],-1.18838290778,-1.1841157,0.14398812128195337,0.1464593081699999,-1.43646564,-0.958483188,1.0011316052768933,3068.1911060743478,3017.1917146350975
theta[39],-0.9708127547125,-0.97254633,0.13235897408486139,0.12854215388700005,-1.1822018849999998,-0.75225934,1.0012985808166628,4482.612275489011,3463.8298620062656
theta[40],-1.0022743261325,-1.0019859,0.14004284584425414,0.13615420776299997,-1.2336344199999998,-0.7683752859999999,1.0000016450110214,4664.6640118283085,3447.8868661102947
theta[41],-0.9515501522775,-0.954169745,0.12525753448605426,0.12338472222300001,-1.151091615,-0.7391010385000001,1.0000827813222095,5212.436884438016,3483.523820369434
theta[42],-1.10194827802,-1.0967307499999999,0.14239830874741763,0.1431264974999999,-1.3458193399999998,-0.882558142,1.000439658744113,4652.181121882186,3375.2241916676517
theta[43],-1.1648802761975,-1.1567677500000002,0.15126849958881158,0.15081466805999993,-1.42999366,-0.930255112,1.0002831712927596,3158.2568776517405,3295.1273594102513
theta[44],-1.010894642145,-1.0072779,0.12354403090679277,0.12138496910399993,-1.2190522449999999,-0.8110274880000001,0.9999087598977993,4794.169075802586,3325.3627243120554
theta[45],-0.8082945546925,-0.81973682,0.17737720656721606,0.182455635264,-1.0765963900000002,-0.4990607240000002,1.000747111645145,3183.7648967637047,3022.2972516788245
theta[46],-0.72614394673225,-0.729701405,0.17672001614527327,0.18281555124,-1.0067047599999999,-0.4294142840000002,1.0000533991568343,1918.446727148682,2417.70206587832
theta[47],-0.9830795152225,-0.9862198799999999,0.1553735502392645,0.146801292099,-1.2315715999999999,-0.7198024935000003,1.0003845023219717,4997.346596048232,3384.275269548134
theta[48],-0.925025794575,-0.927418545,0.13087501128816834,0.12935040069,-1.134494355,-0.705283855,1.0003689498392967,4819.8017264276,3563.651648745168
theta[49],-0.8660510893225,-0.87468828,0.15271008638797542,0.15425922229200004,-1.10100395,-0.6100921094999999,1.0000227626736402,3178.283595841273,3351.7950725927426
theta[50],-0.977572864335,-0.97906535,0.14628337543925582,0.13661436973799995,-1.2125034,-0.7381313985000002,1.0016994805920685,5097.096248924724,3047.937172823418
theta[51],-1.0269243223025,-1.02486925,0.1208100319557934,0.12015968915999994,-1.225887725,-0.8270301735000001,1.0004698351520285,5311.226158823574,3102.9249051328184
theta[52],-0.8938566668475,-0.90071246,0.1418005785371955,0.137293519146,-1.114224045,-0.6499701720000001,1.000628631849671,3711.6491300071266,3382.7144711290166
theta[53],-1.0921070654125,-1.0820621,0.1501350858841946,0.148432248468,-1.352021875,-0.8627309890000002,1.0005620098492345,3804.552588353356,3038.3606032482994
theta[54],-1.0858021503325,-1.082559,0.1321865960701767,0.13334808332999998,-1.3157959550000002,-0.8798467745000003,1.0013274992312349,4389.271770710391,3512.9962334786846
p[1],0.3703076675425,0.37119579,0.029948690697317433,0.03022115531400002,0.31992171150000004,0.418312249,1.0002242122915963,3818.3766450500934,2901.183475160838
p[2],0.3453955998725,0.34520752499999996,0.031334918802056716,0.03191882127000003,0.2932759005,0.3965324955,1.0030125924891418,2423.5029504116405,2494.6196440986814
p[3],0.3957204064625,0.394540215,0.02858409724323763,0.027752359445999956,0.349507115,0.44385615049999994,1.00014858034934,4515.123572140845,3435.025222961023
p[4],0.38832155863,0.38845226499999996,0.030808693720480194,0.030394152494999948,0.3383392045,0.43983365249999995,1.0005772958545274,4178.919694620109,3304.995511314577
p[5],0.40030988763250003,0.399059575,0.028279798166403455,0.02783622271500001,0.3559559035,0.447807903,1.0009729447444957,3631.9187381131237,3042.9534695718125
p[6],0.3651059798475,0.36604939999999997,0.03205746811826378,0.03238695221999999,0.310875574,0.41640078649999995,1.0004800462368102,3556.9385416381338,3034.9169875281004
p[7],0.3508568690075,0.3526334,0.03468147732793795,0.035719206914999996,0.29208356300000005,0.40469735849999994,1.0000458946335653,2593.898939279482,2964.325212201803
p[8],0.3861495185175,0.386007345,0.025808884507654,0.025519919669999964,0.343457081,0.4291530315,1.0019355158438972,4896.196477780538,3410.2607559898092
p[9],0.4352756261675,0.431245585,0.04427184415693333,0.04462462172699998,0.37042298149999997,0.5141638909999999,1.0011327442303752,2508.8010157827066,2679.7287980208257
p[10],0.455387786415,0.453354345,0.042236303422970814,0.042922997229,0.3886667555,0.5271608855000001,1.001017007809063,1751.4610237516333,2059.257319860483
p[11],0.3930222061275,0.39142773,0.03609671585347703,0.03388586081999997,0.3348064915,0.455685728,1.0008737761479025,3777.6472395881297,3010.0372108922484
p[12],0.406699138695,0.40560061999999997,0.029701104228187544,0.02933819288400002,0.3594834275,0.456597258,1.000482540392266,3738.4174945734085,3123.1068602031514
p[13],0.421027387235,0.418927755,0.03390784742157976,0.03362464152600002,0.368813342,0.4796852579999999,1.0004904313615368,2874.9188642180593,3093.972117395028
p[14],0.3942089007925,0.39400328,0.032100237991822905,0.030301000736999966,0.3409272055,0.44812809950000004,1.001063257062137,4185.590070383908,2837.1576574199967
p[15],0.38241527943,0.382433635,0.027523945996832777,0.027097309700999987,0.336812043,0.428039161,1.0003867333846244,3792.961558787446,2681.726851006817
p[16],0.4142650381975,0.41278784,0.03233206221438081,0.03223583080199999,0.364350403,0.470071403,1.0005695475506016,3509.151638754593,3394.474323072631
p[17],0.3674140720225,0.36842092,0.03303599754390626,0.032755445037000015,0.3111328805,0.41939147649999997,1.0008514024112163,3643.8442869741752,3301.5206758036757
p[18],0.3687506766475,0.37007670000000004,0.02987709828718657,0.030420594666000063,0.31904685,0.41631621449999995,1.0008421825272587,3132.370827294886,2889.5072225599324
p[19],0.2800194744575,0.280367195,0.025765256158781776,0.026010185838000046,0.23825848500000002,0.32267975749999994,1.0001584764464155,4250.149850832951,3451.4523997274396
p[20],0.2586798810925,0.258572225,0.025817786855548815,0.026487827666999985,0.215689234,0.30087656849999994,1.001742755207766,2578.4969485130146,2453.7645004437422
p[21],0.302208069305,0.301170715,0.025639727381795218,0.025224889682999994,0.26278702,0.34648565299999995,1.0019561623250075,4988.078086374039,3227.9572328239237
p[22],0.29571827465,0.295314205,0.026884129838532927,0.026568266130000028,0.25287359800000003,0.340934492,1.000413017889753,5023.529429595012,3443.8596390149623
p[23],0.3062214618425,0.30522778,0.024715676581730087,0.02494333653000001,0.2673344595,0.34813457449999996,1.0009940854659445,5104.902342383681,3037.0704237902983
p[24],0.2755474935225,0.276049005,0.026944482646590807,0.027211803486000007,0.2302917625,0.3196242145,1.0003289056433662,4512.867702393245,3366.7669053796158
p[25],0.26337558508,0.26403984,0.02862746804662548,0.02902625384399994,0.2150513945,0.309122088,0.9999098275192467,2761.2062159305233,3100.683403420366
p[26],0.293795118125,0.29309466500000003,0.024077800691467078,0.02386062340199997,0.25578798799999997,0.3342767315,1.0010110441428994,5023.775121907947,3474.274293495824
p[27],0.337971379345,0.33370972,0.03953049999719176,0.04029088555800001,0.2816364665,0.40861201799999997,1.0000108033393889,3162.129754355818,2984.8346442417583
p[28],0.3564214276575,0.35518901999999997,0.039320742961509246,0.04006700554500004,0.296513724,0.425044908,1.000282380784967,2023.1065567881437,2306.574186573136
p[29],0.2998951056375,0.29860188,0.03035675094733761,0.02826282603899998,0.2507695545,0.3523100835,1.0012591752217568,5156.105899379982,3340.294789793993
p[30],0.311936969145,0.30990750499999997,0.026657269730679268,0.02579064984300001,0.27092695699999997,0.35706135699999997,1.0014881545980714,5267.812946991337,3567.236357828713
p[31],0.324879760435,0.322101045,0.03143356482274159,0.031185972090000062,0.2774685835,0.37918456899999997,1.0002604849444245,3477.8079648251883,3363.3893929382884
p[32],0.300905732245,0.30004474000000003,0.027887332037170462,0.027077568882000008,0.257071718,0.3482946705,1.0018519609595702,4985.596547591083,3331.3084336937727
p[33],0.290465373005,0.29045845,0.023335353024531186,0.02261701852200001,0.253152072,0.329291098,1.0006721884119887,5350.2375895010455,3414.80618828503
p[34],0.3187434020625,0.316829475,0.029066865931198095,0.028352560404000072,0.273880006,0.370077032,1.0002028833967538,4077.475037700177,3381.8379235449697
p[35],0.27758395033,0.27811635,0.02835529672732235,0.02761626417900003,0.2296571035,0.3242887765,1.0013794779216894,3762.3019610604915,3277.2119555074887
p[36],0.2786705916925,0.27887422500000003,0.02557921959490566,0.025640455050000014,0.23627743399999998,0.32022784949999994,1.0002310889030048,4053.5295487478184,3116.112460520453
p[37],0.2545923639775,0.25463037499999996,0.026407336559214564,0.026664323784000042,0.211266181,0.297262624,1.0004664999001502,4293.957489888681,2874.3131630931257
p[38],0.2345325731825,0.234312985,0.02561548282964242,0.026178238548000003,0.192093272,0.2771819865,1.0011316052768933,3068.1911060743478,3017.1917146350975
p[39],0.2754977843375,0.27437325999999995,0.02642950516372777,0.025559097375,0.2346565265,0.3203291975,1.0013701747649657,4482.612275489011,3463.8298620062656
p[40],0.26937835925,0.268551145,0.027548457728807447,0.026496248834999996,0.225545945,0.316830671,1.0000016450110214,4664.6640118283085,3447.8868661102947
p[41],0.2792657741375,0.278047025,0.025218282565626398,0.024602501615999993,0.2402897525,0.32320074849999997,1.000056289406511,5212.440659642008,3483.523820369434
p[42],0.2503227658475,0.25035295999999996,0.02642387689900491,0.026769314103000003,0.20655470299999998,0.29264795250000003,1.000397130248903,4652.181121882186,3375.2241916676517
p[43],0.2388640681,0.239255095,0.027162856034188058,0.027470606141999993,0.193099682,0.2828729655,1.0002144306011223,3158.259423893454,3295.1273594102513
p[44],0.267497602355,0.267512905,0.024127689554489323,0.023993849838000004,0.22810328300000002,0.30767158899999997,0.9999087598978513,4794.162276306993,3325.3627243120554
p[45],0.30950564776,0.305819525,0.03811931821778127,0.03867208650900002,0.2541506535,0.37776143049999994,1.000744212916749,3183.7648967637047,3022.2972516788245
p[46],0.3272082855475,0.325260255,0.03890677073620167,0.04021619958299999,0.267625224,0.394266205,1.0000281044917052,1918.446727148682,2417.70206587832
p[47],0.2733590988825,0.27165937,0.030806159128499086,0.028898698353000005,0.2259064735,0.3274364819999999,1.0003845057569039,4997.357048127098,3384.275269548134
p[48],0.28467962465,0.28344873000000004,0.026692716973778764,0.026146332996000027,0.24333263400000002,0.330641774,1.0003748536345103,4819.8017264276,3563.651648745168
p[49],0.2970523626425,0.29427970999999997,0.031971328121038096,0.031940400512999984,0.249551822,0.35203819049999996,1.0000563184147124,3178.283595841273,3351.7950725927426
p[50],0.2743271455925,0.273077275,0.029100752887215874,0.027100771571999978,0.229258405,0.32341289599999995,1.0016825909145408,5097.092757243793,3047.937172823418
p[51],0.264347420215,0.26408001999999997,0.023424277674087064,0.023274907446000005,0.226901991,0.304273391,1.0004575139875318,5311.219902330486,3102.9249051328184
p[52],0.291171878055,0.28890410499999997,0.029322190805626397,0.028168124964000035,0.24708423650000003,0.3429962545,1.0005690891071866,3711.6491300071266,3382.7144711290166
p[53],0.2522727483725,0.25311598,0.02792653124533515,0.028131223050000015,0.2055400185,0.296769081,1.000561941377573,3804.550090769606,3038.3606032482994
p[54],0.2532225057375,0.25302206,0.02483492279568219,0.025103627828999997,0.21151859350000002,0.293209532,1.001238094514904,4389.2654334185245,3512.9962334786846
